system:index,area,class,ring,state,year,.geo
1_1_2_8,2148.229736328125,8,8-10km,Punjab,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,7595237.267830883,0,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,2.2778598960247868E8,1,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,516860.70350509346,2,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,4297.943115234375,3,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,3.163412342636313E9,4,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,8785909.058417585,5,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,4.725062150247426E8,6,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_7,9359842.504233686,7,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_8,0,8,8-10km,Punjab,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_0,3.0558634781651926E8,0,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_1,2.8445380493019037E9,1,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_2,2.5966304069604013E7,2,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_3,1.1253948841089346E7,3,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_4,4.6861412746559626E8,4,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_5,5.1586002437173134E8,5,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_6,2.934186401815937E8,6,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_7,1.3857456528410503E8,7,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_1_2_8,3392610.107157628,8,0-2km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_0,3.346635733763136E8,0,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_1,2.829299933867095E9,1,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_2,4.552986751388538E7,2,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_3,3.088689314797124E7,3,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_4,4.52518179023694E8,4,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_5,5.770967189454565E8,5,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_6,3.313880466190228E8,6,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_7,1.0407882992200138E8,7,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_1_2_8,2011909.410099763,8,0-2km,Uttarakhand,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_0,3.3825062027207404E8,0,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_1,2.9682121966745024E9,1,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_2,3.077173754393382E7,2,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_3,2.080612815955882E7,3,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_4,4.4053777328655106E8,4,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_5,4.232436720169223E8,5,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_6,3.673971104026433E8,6,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_7,1.1941044601215339E8,7,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_1_2_8,4497975.842118565,8,0-2km,Uttarakhand,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_0,1.6788670705014937E7,0,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_1,2.5340764924872403E9,1,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_2,1.890168707257583E7,2,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_1_1_1_1_1_1_1_2_3,1311041.4576277193,3,2-4km,Uttarakhand,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
